Round,Loss,Accuracy,AUC,Sensitivity,Specificity
0,0.6951384544372559,0.5079627633094788,0.5073028344588288,0.9969947407963937,0.5043481641084875
1,0.46709203720092773,0.7785146236419678,0.7787060307561338,0.716212390291612,0.8904977794226498
2,0.24116864800453186,0.8892931342124939,0.8893274585608897,0.8700462958102817,0.9105745792222867
3,0.27487826347351074,0.8779981136322021,0.8778680018037683,0.968874154040058,0.8168116369808048
4,0.2175881564617157,0.8944969177246094,0.8945352974883898,0.8728485392507854,0.9187266355140187
5,0.19422869384288788,0.9059352874755859,0.9059226394337264,0.9135149728890589,0.8986520813291105
6,0.17972590029239655,0.9121313095092773,0.912134848832673,0.9097336583009463,0.914549218897045
7,0.1798020452260971,0.913939356803894,0.9139378755613233,0.9146570796460177,0.9132264551078488
8,0.17695309221744537,0.9156537652015686,0.9156505647368779,0.9174346519390935,0.9138936384760401
9,0.17705018818378448,0.9148324131965637,0.914856874075036,0.8999872228965693,0.9307684394609608
10,0.17901726067066193,0.9107531905174255,0.910789057443214,0.8896337886533143,0.9342122104185332
11,0.17652221024036407,0.9152182936668396,0.9152027845403286,0.9248412537003141,0.9060505269049849
12,0.17979735136032104,0.9138622283935547,0.9138702854853598,0.9087112041702109,0.9191274008182011
13,0.17343062162399292,0.9155820608139038,0.9155964989115893,0.90661667783132,0.9249209368282444
14,0.1692807674407959,0.9185478091239929,0.9185366768791834,0.9254175271617132,0.9119173229625939
15,0.16737931966781616,0.9189722537994385,0.9189688687345461,0.9209034534018171,0.9170647791023843
16,0.16865257918834686,0.9171531200408936,0.9171934212525402,0.893271703259523,0.9440304628002343
17,0.16889695823192596,0.9191321134567261,0.9191324447625148,0.9187277982481301,0.919535924020229
18,0.16398251056671143,0.9218883514404297,0.9218796152255235,0.9272741506184438,0.9166530780854233
19,0.1655874252319336,0.921678900718689,0.921696723970567,0.9105334451396504,0.933408003258324
20,0.16565386950969696,0.9225663542747498,0.9225688958351919,0.9207948010248402,0.9243472685870935
