Round,Loss,Accuracy,AUC,Sensitivity,Specificity
0,0.692906379699707,0.46604597568511963,0.46655633327092383,0.4803508749976537,0.36008897951617386
1,0.6925853490829468,0.6808282136917114,0.6812550133414709,0.6100685697350163,0.9996964638033086
2,0.20318402349948883,0.8997282385826111,0.8997415536608563,0.8916892111243372,0.9080755531085317
3,0.18847551941871643,0.9068889021873474,0.9068944849364877,0.9033133750013682,0.9105163797890061
4,0.18741372227668762,0.9072637557983398,0.9072305371406751,0.928318409346945,0.8882418366490389
5,0.18958580493927002,0.9083772897720337,0.9083439244459368,0.9295812278561887,0.8892280900526636
6,0.17899169027805328,0.9118501543998718,0.9118472661995414,0.9134160265150255,0.9103011163015111
7,0.1962415724992752,0.906977117061615,0.9069836592621773,0.9028189181213042,0.9112079895015458
8,0.17986656725406647,0.9115248918533325,0.9115421813697243,0.9009597383314325,0.922624766856949
9,0.1829853355884552,0.9124510288238525,0.9124279305413214,0.9269644939299023,0.8989343014404497
10,0.175899475812912,0.9141874313354492,0.9141998560697525,0.9064311643278973,0.9222189807230537
11,0.17658278346061707,0.9146559834480286,0.9146554131161111,0.9148071229729132,0.9145054630679005
12,0.17098189890384674,0.9162711501121521,0.9162688334129087,0.9175093311477589,0.9150442283632213
13,0.16859464347362518,0.9176547527313232,0.9176571095866513,0.9160012318792758,0.9193161599752456
14,0.16956071555614471,0.9169105887413025,0.9168825396120411,0.934944644770342,0.9003636209885417
15,0.17145046591758728,0.9182887077331543,0.9182658571187357,0.9328739415132503,0.9046964856230032
16,0.17250531911849976,0.9165357351303101,0.9165477131724071,0.9090140203636837,0.9243137782561894
17,0.17031826078891754,0.9187738299369812,0.9187967218355524,0.9047115948988848,0.9337985450730885
18,0.16600704193115234,0.9209457039833069,0.9209827116511864,0.8987041240024684,0.9457317357452562
19,0.16217058897018433,0.923448383808136,0.9234631792306804,0.9140975109335349,0.9331997027093984
20,0.1648835837841034,0.9226325154304504,0.9226577000430705,0.9071259134763693,0.9393121124053182
